视频标题,发布时间,播放量,点赞量,收藏量,弹幕量,评论量,转发量,投币量,视频时长(s),BV号,AV号
《崩坏：星穹铁道》千星纪游PV：「不似一片浮云」,2024-12-20 12:00:00,3099342,266611,58167,15640,6486,19568,93003,670,BV12xkMYjEio,113677432849170
《崩坏：星穹铁道》走近星穹——「忘归人：尾大，无需多言」,2024-12-18 12:00:00,2134761,164125,20692,5888,7331,13664,32941,407,BV1BckJYAEht,113668272490776
《崩坏：星穹铁道》TGA参展视频：「你所不曾抵达的世界」,2024-12-14 12:00:00,2548056,202872,37276,9436,8206,15171,58853,382,BV1yqBMYPENa,113644834654134
《崩坏：星穹铁道》星期日角色PV——「独奏者」,2024-12-03 12:00:00,5859334,347167,106973,45256,31525,52066,176386,556,BV1Dg6AYNEpD,113581198805442
《崩坏：星穹铁道》千星纪游PV：「太阳落下之后」,2024-11-29 12:00:00,3989884,319229,73157,15306,11362,28284,115502,865,BV1ZBzhYREVs,113560092935193
《崩坏：星穹铁道》走近星穹——「星期日：今天怎么才周三！」,2024-11-27 12:00:00,2693887,196604,33209,29722,10003,18715,40979,355,BV1aYz3YtE2F,113549003263997
《崩坏：星穹铁道》2.7版本「在第八日启程」前瞻特别节目,2024-11-22 20:40:00,2954717,145183,30000,78674,10903,6284,39177,2382,BV1R8UUY4EBJ,113520213495602
《崩坏：星穹铁道》黄金史诗PV：「翁法罗斯英雄纪」,2024-11-22 20:00:00,11023774,513991,164817,210158,53585,154239,298014,1161,BV1GeUUYREXy,113520163229242
《崩坏：星穹铁道》2.7版本PV：「‍在第八日启程」,2024-11-22 19:45:00,2893156,119702,19625,3304,4874,6915,29248,553,BV1c7UUYiELE,113520079277727
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,2024-10-22 18:00:00,2180344,143477,20155,16166,6659,8172,21379,380,BV1EBynYCEhs,113348733570135
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,2024-10-21 12:00:00,12313795,492757,179686,36715,22222,81072,218839,515,BV1yyC1YQEpk,113327963376490
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,2024-10-18 12:00:00,4259669,326236,62133,32012,7479,35819,66078,670,BV13pyPYSEar,113320749174529
《崩坏：星穹铁道》走近星穹——「乱破：白枭•忍者爆发四散之卷」,2024-10-16 12:00:00,1710041,120672,15634,5365,3726,5265,15721,428,BV1722ZYDEam,113311152735883
《崩坏：星穹铁道》2.6版本「毗乃昆尼末法世记」前瞻特别节目,2024-10-11 20:45:00,2775787,133173,26496,28261,6650,5003,31731,2015,BV1Sy2mY3E7z,113287345800947
《崩坏：星穹铁道》2.6版本PV：「‍毗乃昆尼末法世记」,2024-10-11 20:00:00,3028486,114294,17226,5588,4695,6684,21165,639,BV1eM2gY3EKx,113281574437386
《崩坏：星穹铁道》灵砂角色PV——「燎沉香」,2024-09-27 12:00:00,3770046,219212,40063,9800,6862,16357,55637,400,BV1WixjeCEap,113202755012355
《崩坏：星穹铁道》走近星穹——「灵砂：去哪里买能闻到香味的手机？」,2024-09-25 12:00:00,1774592,129009,16340,8222,4939,5915,19675,423,BV12tsheHEVm,113191128403831
内容爆炸！《崩坏3》×《崩坏：星穹铁道》联动幕后揭秘,2024-09-19 12:00:00,5276953,404507,139037,118408,16846,114435,166136,634,BV1YUtVeREs3,113156298900552
《崩坏：星穹铁道》飞霄角色PV——「君莫笑」  ‌,2024-09-09 12:00:00,6752974,382687,113979,27850,18348,60120,155870,575,BV1s2pBevEoN,113103551336384
全网首发！揭秘狐人英雄的真面目——《崩坏：星穹铁道》星间纪实,2024-09-08 12:00:00,1733609,184285,34678,18056,20476,33497,81634,664,BV1v1HQeSEce,113090213511864
《崩坏：星穹铁道》动画短片：「清闲自在身」,2024-09-06 12:00:00,8640724,545588,247010,30319,15992,82372,242939,638,BV1WvpTekEPQ,113082630211045
《崩坏：星穹铁道》走近星穹——「貊泽：千里不留行」,2024-09-05 12:00:00,1046496,84191,8035,2523,2618,2194,6805,298,BV1eJpFezEZt,113078536503892
《崩坏：星穹铁道》走近星穹——「飞霄：如何练就西瓜般的腱子肉」,2024-09-04 12:00:00,1845507,133507,19411,7049,4070,5639,21073,382,BV1xaHWeREhF,113073453007731
《崩坏：星穹铁道》千星纪游PV：「飞镝追星」,2024-09-03 12:00:00,4335093,309040,71745,19942,10513,29293,107868,601,BV1TT421z7e3,1706607450
