视频标题,发布时间,播放量,点赞量,收藏量,弹幕量,评论量,转发量,投币量,视频时长(s),version,version_major,version_minor
《崩坏：星穹铁道》二周年特别动画：「不虚此行」,2025-04-26 12:00:00,9239821,757799,373130,333088,31685,80947,640090,699,3.2,3.0,2.0
《崩坏：星穹铁道》那刻夏角色PV——「何罪之有」,2025-04-25 12:00:00,5249960,302615,113000,48538,25430,38347,135825,526,3.2,3.0,2.0
《崩坏：星穹铁道》走近星穹——「那刻夏：哈哈哈哈哈哈哈」,2025-04-23 12:00:00,3131811,171730,30643,139556,45451,14796,28550,520,3.2,3.0,2.0
《崩坏：星穹铁道》遐蝶角色PV——「墓志铭」,2025-04-08 12:00:00,6505129,328813,111071,70088,26255,41010,187694,740,3.2,3.0,2.0
《崩坏：星穹铁道》黄金史诗PV：「生命从夜中醒来」,2025-04-05 12:00:00,5011573,347644,90641,100555,18290,47126,163887,938,3.2,3.0,2.0
《崩坏：星穹铁道》走近星穹——「遐蝶：遐瑕不分，叽米惨遭发配哀地里亚」,2025-04-02 12:00:00,2866288,176265,31732,55388,10240,12931,43999,572,3.2,3.0,2.0
厨房即战场！「黄金大饭店」新预告公开,2025-04-01 12:00:00,3777592,307111,64119,60496,12667,42205,88987,398,3.2,3.0,2.0
《崩坏：星穹铁道》动画短片：「那安息的长夜」,2025-03-31 12:00:00,6752676,514623,182053,73145,29018,115052,350047,1798,3.2,3.0,2.0
《崩坏：星穹铁道》3.2版本「走过安眠地的花丛」前瞻特别节目,2025-03-28 20:45:00,2695271,147454,31025,89903,19492,7964,63079,2783,3.2,3.0,2.0
《崩坏：星穹铁道》3.2版本PV：「‍走过安眠地的花丛」,2025-03-28 20:00:00,3548472,139714,31069,18828,14196,11461,49461,694,3.2,3.0,2.0
《崩坏：星穹铁道》万敌角色PV——「人之怒」,2025-03-14 12:00:00,5049897,266730,66740,45998,29697,32075,96576,471,3.1,3.0,1.0
《崩坏：星穹铁道》走近星穹——「万敌：悬锋人的字典里没有类固醇」,2025-03-12 12:00:00,2110962,141444,22855,28694,9412,8485,24423,480,3.1,3.0,1.0
《崩坏：星穹铁道》走近星穹——「千面英雄」特别节目,2025-02-26 12:00:00,2006145,148405,27806,36943,7194,9616,36169,655,3.1,3.0,1.0
《崩坏：星穹铁道》缇宝角色PV——「童言无忌」,2025-02-25 12:00:00,6133965,300701,72721,32581,23010,33638,107992,536,3.1,3.0,1.0
《崩坏：星穹铁道》黄金史诗PV：「命运的第一个黎明」,2025-02-21 12:00:00,4289473,267518,64362,20385,15204,34730,94605,735,3.1,3.0,1.0
《崩坏：星穹铁道》走近星穹——「缇宝：怎么缇都有面儿」,2025-02-19 12:00:00,2274776,145166,17407,5531,16334,8542,24208,381,3.1,3.0,1.0
《崩坏：星穹铁道》3.1版本「门扉之启，王座之终」前瞻特别节目,2025-02-14 20:30:00,2202060,95206,16651,25324,15653,3027,17837,2382,3.1,3.0,1.0
《崩坏：星穹铁道》3.1版本PV：「‍门扉之启，王座之终」,2025-02-14 20:00:00,2527103,102366,16533,20095,8066,7534,22638,643,3.1,3.0,1.0
《崩坏：星穹铁道》阿格莱雅角色PV——「致命浪漫」,2025-01-31 12:00:00,5620769,282045,51556,32685,36226,20095,69212,575,3.0,3.0,0.0
《崩坏：星穹铁道》走近星穹——「阿格莱雅：文明上网，人人有责」,2025-01-29 12:00:00,2275238,162240,21835,28518,11210,7189,26525,463,3.0,3.0,0.0
叽米VS帕姆！谁能当选宇宙代言人？,2025-01-22 12:00:00,1386088,139245,13852,28641,6990,9773,17934,161,3.0,3.0,0.0
《崩坏：星穹铁道》EP：「洞穴寓言」,2025-01-19 12:00:00,1923732,130816,21252,11855,8930,4070,23391,265,3.0,3.0,0.0
《崩坏：星穹铁道》大黑塔角色PV——「宇宙有天才」,2025-01-14 12:00:00,11073159,520788,157569,151757,24732,64535,205473,609,3.0,3.0,0.0
《崩坏：星穹铁道》神话开篇PV：「诸神尽喑之歌」,2025-01-12 12:00:00,4975021,270156,55543,36555,16943,39370,96857,333,3.0,3.0,0.0
《崩坏：星穹铁道》动画短片：「大 黑 塔 的 魔 法 厨 房」,2025-01-10 12:00:00,7435939,477018,163607,68910,16441,62803,179936,714,3.0,3.0,0.0
《崩坏：星穹铁道》走近星穹——「大黑塔：你的帽子怎么尖尖的？」,2025-01-08 12:00:00,4693173,284959,53044,237736,10665,38036,65922,567,3.0,3.0,0.0
《崩坏：星穹铁道》走近星穹——「开拓者•记忆：叽米是梦的开场白」,2025-01-07 18:00:00,2789637,178030,23039,52428,9783,13815,25269,578,3.0,3.0,0.0
《崩坏：星穹铁道》千星纪游PV：「群星静默如谜」,2025-01-07 12:00:00,5325594,320682,81507,51863,12432,30940,110747,755,3.0,3.0,0.0
开拓必看！打卡开拓星神都没去过的翁法罗斯！,2025-01-05 12:00:00,2990082,270727,53229,51453,10404,29603,122790,968,3.0,3.0,0.0
《崩坏：星穹铁道》翁法罗斯主题曲MV——「何者」,2025-01-03 12:00:00,6089624,287411,122974,25505,12837,22644,149828,177,3.0,3.0,0.0
《崩坏：星穹铁道》3.0版本「再创世的凯歌」前瞻特别节目,2025-01-01 20:50:00,3237280,147407,30334,86797,12417,7801,43568,3699,3.0,3.0,0.0
《崩坏：星穹铁道》OP：「何者」,2025-01-01 20:00:00,18716303,624867,288238,162607,46089,126529,399471,199,3.0,3.0,0.0
《崩坏：星穹铁道》太古颂歌PV：「论泰坦与地上万邦」,2024-12-30 18:00:00,5603689,342846,64281,47177,16225,51027,120618,830,2.7,2.0,7.0
《崩坏：星穹铁道》忘归人角色PV——「子不语」,2024-12-24 12:00:00,5595853,363402,107743,37427,13572,51165,185406,572,2.7,2.0,7.0
《崩坏：星穹铁道》千星纪游PV：「不似一片浮云」,2024-12-20 12:00:00,3099342,266611,58167,15640,6486,19568,93003,670,2.7,2.0,7.0
《崩坏：星穹铁道》走近星穹——「忘归人：尾大，无需多言」,2024-12-18 12:00:00,2134761,164125,20692,5888,7331,13664,32941,407,2.7,2.0,7.0
《崩坏：星穹铁道》TGA参展视频：「你所不曾抵达的世界」,2024-12-14 12:00:00,2548056,202872,37276,9436,8206,15171,58853,382,2.7,2.0,7.0
《崩坏：星穹铁道》星期日角色PV——「独奏者」,2024-12-03 12:00:00,5859334,347167,106973,45256,31525,52066,176386,556,2.7,2.0,7.0
《崩坏：星穹铁道》千星纪游PV：「太阳落下之后」,2024-11-29 12:00:00,3989884,319229,73157,15306,11362,28284,115502,865,2.7,2.0,7.0
《崩坏：星穹铁道》走近星穹——「星期日：今天怎么才周三！」,2024-11-27 12:00:00,2693887,196604,33209,29722,10003,18715,40979,355,2.7,2.0,7.0
《崩坏：星穹铁道》2.7版本「在第八日启程」前瞻特别节目,2024-11-22 20:40:00,2954717,145183,30000,78674,10903,6284,39177,2382,2.7,2.0,7.0
《崩坏：星穹铁道》黄金史诗PV：「翁法罗斯英雄纪」,2024-11-22 20:00:00,11023774,513991,164817,210158,53585,154239,298014,1161,2.7,2.0,7.0
《崩坏：星穹铁道》2.7版本PV：「‍在第八日启程」,2024-11-22 19:45:00,2893156,119702,19625,3304,4874,6915,29248,553,2.7,2.0,7.0
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,2024-10-22 18:00:00,2180344,143477,20155,16166,6659,8172,21379,380,2.6,2.0,6.0
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,2024-10-21 12:00:00,12313795,492757,179686,36715,22222,81072,218839,515,2.6,2.0,6.0
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,2024-10-18 12:00:00,4259669,326236,62133,32012,7479,35819,66078,670,2.6,2.0,6.0
《崩坏：星穹铁道》走近星穹——「乱破：白枭•忍者爆发四散之卷」,2024-10-16 12:00:00,1710041,120672,15634,5365,3726,5265,15721,428,2.6,2.0,6.0
《崩坏：星穹铁道》2.6版本「毗乃昆尼末法世记」前瞻特别节目,2024-10-11 20:45:00,2775787,133173,26496,28261,6650,5003,31731,2015,2.6,2.0,6.0
《崩坏：星穹铁道》2.6版本PV：「‍毗乃昆尼末法世记」,2024-10-11 20:00:00,3028486,114294,17226,5588,4695,6684,21165,639,2.6,2.0,6.0
《崩坏：星穹铁道》灵砂角色PV——「燎沉香」,2024-09-27 12:00:00,3770046,219212,40063,9800,6862,16357,55637,400,2.5,2.0,5.0
《崩坏：星穹铁道》走近星穹——「灵砂：去哪里买能闻到香味的手机？」,2024-09-25 12:00:00,1774592,129009,16340,8222,4939,5915,19675,423,2.5,2.0,5.0
内容爆炸！《崩坏3》×《崩坏：星穹铁道》联动幕后揭秘,2024-09-19 12:00:00,5276953,404507,139037,118408,16846,114435,166136,634,2.5,2.0,5.0
《崩坏：星穹铁道》飞霄角色PV——「君莫笑」  ‌,2024-09-09 12:00:00,6752974,382687,113979,27850,18348,60120,155870,575,2.5,2.0,5.0
全网首发！揭秘狐人英雄的真面目——《崩坏：星穹铁道》星间纪实,2024-09-08 12:00:00,1733609,184285,34678,18056,20476,33497,81634,664,2.5,2.0,5.0
《崩坏：星穹铁道》动画短片：「清闲自在身」,2024-09-06 12:00:00,8640724,545588,247010,30319,15992,82372,242939,638,2.5,2.0,5.0
《崩坏：星穹铁道》走近星穹——「貊泽：千里不留行」,2024-09-05 12:00:00,1046496,84191,8035,2523,2618,2194,6805,298,2.5,2.0,5.0
《崩坏：星穹铁道》走近星穹——「飞霄：如何练就西瓜般的腱子肉」,2024-09-04 12:00:00,1845507,133507,19411,7049,4070,5639,21073,382,2.5,2.0,5.0
《崩坏：星穹铁道》千星纪游PV：「飞镝追星」,2024-09-03 12:00:00,4335093,309040,71745,19942,10513,29293,107868,601,2.5,2.0,5.0
《崩坏：星穹铁道》2.5版本「碧羽飞黄射天狼」前瞻特别节目,2024-08-30 20:35:00,2466917,134949,23900,40635,9694,4834,28675,2298,2.5,2.0,5.0
《崩坏：星穹铁道》2.5版本PV：「‍碧羽飞黄射天狼」,2024-08-30 20:00:00,2573793,104379,15299,4332,6894,4866,21241,643,2.5,2.0,5.0
《崩坏：星穹铁道》星穹研习会05期——「太空歌剧」,2024-08-23 12:00:00,1101921,102782,12719,4718,3009,4376,22390,932,2.4,2.0,4.0
《崩坏：星穹铁道》Gamescom参展视频——「罗浮评书•新章速递」,2024-08-21 12:00:00,2291485,185426,27739,6227,8234,34071,36341,389,2.4,2.0,4.0
《崩坏：星穹铁道》椒丘角色PV——「销魂饭」,2024-08-16 12:00:00,3844753,323334,62496,18414,12832,45359,80297,470,2.4,2.0,4.0
《崩坏：星穹铁道》走近星穹——「椒丘：你在椒我做事？」,2024-08-14 12:00:00,1952524,160083,21419,9291,5415,7715,21308,372,2.4,2.0,4.0
《崩坏：星穹铁道》走近星穹——「三月七•巡猎：星穹列车第一神剑」,2024-07-31 12:00:00,2484151,175121,24259,10615,5489,6141,30276,504,2.4,2.0,4.0
《崩坏：星穹铁道》云璃角色PV——「误打误撞」,2024-07-30 12:00:00,6809637,459740,122809,38747,18353,85248,210996,577,2.4,2.0,4.0
《崩坏：星穹铁道》千星纪游PV：「天干剑燥，小心火炉」,2024-07-26 12:00:00,4433927,364641,68173,13312,14066,36493,88827,620,2.4,2.0,4.0
《崩坏：星穹铁道》走近星穹——「云璃：光脚的不怕穿鞋的」,2024-07-24 12:00:00,2773629,204629,26362,16685,6068,12236,31245,478,2.4,2.0,4.0
《崩坏：星穹铁道》2.4版本「明霄竞武试锋芒」前瞻特别节目,2024-07-19 20:45:00,2757850,147950,25885,35664,9152,5649,29111,1998,2.4,2.0,4.0
《崩坏：星穹铁道》2.4版本PV：「明霄竞武试锋芒」,2024-07-19 20:00:00,3386594,158333,24137,7122,8735,11792,34711,607,2.4,2.0,4.0
《崩坏：星穹铁道》千星纪游PV：「石心誓环•天平两端」,2024-07-14 12:00:00,6399379,386981,126537,37343,16369,81583,157111,788,2.3,2.0,3.0
《崩坏：星穹铁道》翡翠角色PV——「欲望收藏」,2024-07-09 12:00:00,3446701,265202,49094,7545,7279,39773,59482,501,2.3,2.0,3.0
《崩坏：星穹铁道》走近星穹——「翡翠：升舱的钱我来出」,2024-07-03 12:00:00,2353951,182419,20715,8477,6230,12867,23792,463,2.3,2.0,3.0
《崩坏：星穹铁道》美梦谢幕PV：「塔塔洛夫向你致意」,2024-06-20 12:00:00,6770330,522161,177982,36744,18859,53145,303339,618,2.3,2.0,3.0
《崩坏：星穹铁道》走近星穹——「差分宇宙」特别节目,2024-06-19 11:00:00,3087006,224377,44223,27952,16913,18050,55215,636,2.3,2.0,3.0
《崩坏：星穹铁道》流萤角色PV——「壳中萤火」,2024-06-18 12:00:00,9597926,705783,267674,69334,48280,130284,585955,745,2.3,2.0,3.0
《崩坏：星穹铁道》动画短片：「格拉默的余烬」,2024-06-14 12:00:00,11262681,859506,351272,69677,72359,218771,736527,1459,2.3,2.0,3.0
《崩坏：星穹铁道》走近星穹——「流萤：海洋防火刻不容缓」,2024-06-12 12:00:00,5204475,353565,73969,38692,17254,27012,116206,454,2.3,2.0,3.0
《崩坏：星穹铁道》千星纪游PV：「此刻，在同一片星空下」,2024-06-11 12:00:00,5607608,479650,158086,36295,62227,100769,301555,932,2.3,2.0,3.0
《崩坏：星穹铁道》SGF参展视频——「做梦的艺术」,2024-06-08 12:00:00,3260550,243383,51572,6972,9552,23277,80334,381,2.3,2.0,3.0
